,MeanVar1
0,0.0020957560061834225
30,0.0019517550581900512
60,0.0018632108465068198
90,0.0010010688116738702
120,0.0007417724373782291
150,0.0007704537843475872
180,0.0005096164907636261
210,0.0009164810444269874
240,0.0013581768150735685
270,0.0013882570955580837
300,0.0016931646162704132
330,0.0015788706099057733
360,0.0016742023468225324
390,0.0014268626780832168
420,0.0009934965744938416
450,0.0006784445266330268
480,0.0013067926136620383
510,0.0015746257220164075
540,0.0015256788411633232
570,0.001434094619610237
