,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,0.12025,0.12025,0.14825,0.027999999999999997,False,0.14375,0.17174999999999999,1,0.4412474053977188,0.13425,0.014000000000000012,0.013999999999999985,35.714285714285715,0.009294396255539277
MeanVar1,0.292,0.292,0.3225,0.030500000000000027,False,0.14375,0.17425000000000002,1,0.47333927537112075,0.30725,0.015250000000000041,0.015249999999999986,32.78688524590161,0.010760411319319272
MeanVar1,0.46625,0.46625,0.49475,0.028500000000000025,False,0.14200000000000002,0.17050000000000004,1,0.4470898804239431,0.48,0.013749999999999984,0.01475000000000004,35.08771929824558,0.009560418060293905
MeanVar1,0.63675,0.63675,0.6645,0.02774999999999994,False,0.14375000000000004,0.17149999999999999,1,0.44070023739067055,0.65075,0.014000000000000012,0.013749999999999929,36.036036036036116,0.00921958595322557
MeanVar1,0.80825,0.80825,0.8385,0.03025,False,0.14425,0.1745,1,0.46386944025114646,0.82325,0.015000000000000013,0.015249999999999986,33.057851239669425,0.010493419923268849
MeanVar1,0.98275,0.98275,1.011,0.028249999999999886,False,0.14200000000000013,0.17025,1,0.44666727148406327,0.9965,0.01375000000000004,0.014499999999999846,35.398230088495716,0.009538257220083363
MeanVar1,1.153,1.153,1.181,0.028000000000000025,False,0.14349999999999996,0.17149999999999999,1,0.4476013857351964,1.167,0.014000000000000012,0.014000000000000012,35.71428571428568,0.00938103007815518
MeanVar1,1.3245,1.3245,1.35525,0.030750000000000055,False,0.1439999999999999,0.17474999999999996,1,0.481285346706364,1.3395000000000001,0.015000000000000124,0.01574999999999993,32.52032520325197,0.010992622194781492
MeanVar1,1.49925,1.49925,1.5275,0.02825000000000011,False,0.14249999999999985,0.17074999999999996,1,0.4423913057616006,1.5130000000000001,0.013750000000000151,0.014499999999999957,35.39823008849544,0.009439947268841262
MeanVar1,1.67,1.67,1.6975,0.02750000000000008,False,0.14375000000000004,0.17125000000000012,1,0.4366306867911003,1.68375,0.013750000000000151,0.013749999999999929,36.36363636363626,0.00906874409327051
